"participant","Hometown","Current Residence","Age"
"Benedetto ""Bene"" Bartolotta","Astoria, New York","New York, New York","27"
"Ramon Bojorquez","Rio Rico, Arizona","San Diego, California","31"
"Janine Booth","Perth, Australia","New York, New York","25"
"Shirley Chung","Beijing, China","Las Vegas, Nevada","36"
"Jason Cichonski","Bucks County, Pennsylvania","Philadelphia, Pennsylvania","27"
"Stephanie Cmar","Boston, Massachusetts","Boston, Massachusetts","28"
"Nina Compton","Saint Lucia","Miami, Florida","34"
"Aaron Cuschieri","Livonia, Michigan","Chicago, Illinois","29"
"Justin Devillier","Dana Point, California","New Orleans, Louisiana","N/A"
"Nicholas Elmi","West Newbury, Massachusetts","Philadelphia, Pennsylvania","32"
"Carlos Gaytan","Chicago, Illinois","Chicago, Illinois","42"
"Brian Huskey","Pasadena, California","Los Angeles, California","32"
"Sara Johannes","Milwaukee, Wisconsin","Minneapolis, Minnesota","N/A"
"Louis Maldonado","Ukiah, California","Healdsburg, California","32"
"Travis Masar","La Junta, Colorado","Philadelphia, Pennsylvania","27"
"Carrie Mashaney","Carpenter, Iowa","Seattle, Washington","35"
"Bret Pelaggi","Norwood, Massachusetts","Miami, Florida","34"
"Michael Sichel","Valhalla, New York","New Orleans, Louisiana","N/A"
"Patricia ""Patty"" Vega","Gurabo, Puerto Rico","New York, New York","29"
