"participant","Hometown","Current Residence","Age"
"Lia Bardeen","Tacoma, Washington","Brooklyn, New York","28"
"Camille Becerra","Elizabeth, New Jersey","Brooklyn, New York","34"
"Sandee Birdsong","St. Simons Island, Georgia","Miami Beach, Florida","39"
"Clay Bowen","Columbus, Mississippi","Santa Barbara, California","28"
"Micah Edelstein","Bridgewater, Massachusetts","Boca Raton, Florida","33"
"Hung Huynh","Pittsfield, Massachusetts","Las Vegas, Nevada","29"
"Chris ""CJ"" Jacobson","El Toro, California","Venice, California","31"
"Howie Kleinberg","Miami, Florida","Miami, Florida","31"
"Dale Levitski","Chicago, Illinois","Chicago, Illinois","34"
"Sara Mair","Kingston, Jamaica","Miami, Florida","34"
"Brian Malarkey","Bend, Oregon","San Diego, California","34"
"Sara Nguyen","Santa Monica, California","Chicago, Illinois","25"
"Joey Paulino","Long Island, New York","New York, New York","29"
"Casey Thompson","Cedar Hill, Texas","Dallas, Texas","29"
"Tre Wilcox","Duncanville, Texas","Cedar Hill, Texas","30"
