"participant","Hometown","Current Residence","Age"
"Eve Aronoff","Ann Arbor, Michigan","Ann Arbor, Michigan","40"
"Jennifer Carroll","Philadelphia, Pennsylvania","Philadelphia, Pennsylvania","33"
"Ron Duprat","Mare Rouge, Haiti","Naples, Florida","40"
"Ash Fulk","Pleasant Hill, California","New York, New York","29"
"Mike Isabella","Little Ferry, New Jersey","Washington, D.C.","34"
"Eli Kirshtein","Atlanta, Georgia","Atlanta, Georgia","25"
"Robin Leventhal","Sun Valley, Idaho","Seattle, Washington","43"
"Ashley Merriman","Center Sandwich, New Hampshire","Seattle, Washington","32"
"Preeti Mistry","San Francisco, California","San Francisco, California","33"
"Mattin Noblia","Biarritz, France","San Francisco, California","29"
"Jesse Sandlin","Baltimore, Maryland","Baltimore, Maryland","30"
"Hector Santiago","San Juan, Puerto Rico","Atlanta, Georgia","41"
"Bryan Voltaggio","Frederick, Maryland","Urbana, Maryland","33"
"Michael Voltaggio","Frederick, Maryland","Pasadena, California","30"
"Laurine Wickett","Rochester, New York","San Francisco, California","38"
"Jennifer ""Jen"" Zavala","Cromwell, Connecticut","Philadelphia, Pennsylvania","31"
"Kevin Gillespie","Atlanta, Georgia","Atlanta, Georgia","26"
