"participant","Hometown","Current Residence","Age"
"Zoi Antonitsas","Seattle, Washington","San Francisco, California","30"
"Jennifer Biesty","Brooklyn, New York","San Francisco, California","35"
"Richard Blais","Uniondale, New York","Atlanta, Georgia","35"
"Valerie Bolon","Chicago, Illinois","Chicago, Illinois","32"
"Nikki Cascone","New York, New York","New York, New York","35"
"Andrew D'Ambrosi","Fort Lauderdale, Florida","New York, New York","30"
"Lisa Fernandes","Toronto, Ontario","New York, New York","27"
"Erik Hopfinger","Chappaqua, New York","San Francisco, California","38"
"Stephanie Izard","Stamford, Connecticut","Chicago, Illinois","31"
"Antonia Lofaso","Los Angeles, California","Los Angeles, California","31"
"Spike Mendelsohn","Clearwater Beach, Florida","Washington, D.C.","27"
"Nimma Osman","Peachtree City, Georgia","Atlanta, Georgia","26"
"Mark Simmons","Invercargill, New Zealand","New York, New York","29"
"Ryan Scott","Los Banos, California","San Francisco, California","28"
"Dale Talde","Chicago, Illinois","New York, New York","29"
"Manuel Trevino","Laredo, Texas","New York, New York","33"
