"participant","Hometown","Current Residence","Age"
"Leah Cohen","Scarsdale, New York","New York, New York","26"
"Radhika Desai","Chicago, Illinois","Chicago, Illinois","28"
"Ariane Duarte","Verona, New Jersey","Verona, New Jersey","41"
"Patrick Dunlea","Quincy, Massachusetts","Hyde Park, New York","21"
"Alex Eusebio","New York, New York","Los Angeles, California","33"
"Daniel Gagnon","New Hyde Park, New York","New Hyde Park, New York","26"
"Carla Hall","Nashville, Tennessee","Washington, D.C.","44"
"Melissa Harrison","Sparks, Maryland","Boulder, Colorado","28"
"Lauren Hope","Cincinnati, Ohio","Savannah, Georgia","24"
"Jamie Lauren","New York, New York","San Francisco, California","30"
"Jeffrey ""Jeff"" McInnis","Niceville, Florida","Miami, Florida","30"
"Stefan Richter","Tampere, Finland","Santa Monica, California","35"
"Hosea Rosenberg","Taos, New Mexico","Boulder, Colorado","34"
"Jill Snyder","Latrobe, Pennsylvania","Baltimore, Maryland","28"
"Richard Sweeney","Sayville, New York","San Diego, California","27"
"Eugene Villiatora","Whitmore Village, Hawaii","Las Vegas, Nevada","33"
"Fabio Viviani","Florence, Italy","Moorpark, California","30"
