"participant","Hometown","Current Residence","Age"
"Karen Akunowicz","Kearny, New Jersey","Boston, Massachusetts","37"
"Angelina Bastidas","Miami, Florida","Miami, Florida","25"
"Carl Dooley","Boston, Massachusetts","Boston, Massachusetts","30"
"Garret Fleming","Rockford, Illinois","Washington, D.C.","33"
"Jeremy Ford","Jacksonville, Florida","Miami, Florida","30"
"Renee Kelly","Shawnee, Kansas","Merriam, Kansas","34"
"Phillip Frankland Lee","Los Angeles, California","Los Angeles, California","28"
"Marjorie Meek-Bradley","Ukiah, California","Washington, D.C.","30"
"Kwame Onwuachi","Bronx, New York","Washington, D.C.","25"
"Amar Santana","Queens, New York","Orange County, California","33"
"Grayson Schmitz","New Holstein, Wisconsin","New York, New York","32"
"Jason Stratton","Seattle, Washington","Seattle, Washington","35"
"Frances Tariga-Weshnak","Manila, Philippines","New York, New York","33"
"Isaac Toups","Rayne, Louisiana","New Orleans, Louisiana","36"
"Wesley True","Mobile, Alabama","Atlanta, Georgia","38"
"Giselle Wellman","San Diego, California","Los Angeles, California","31"
"Chad White","Spokane, Washington","San Diego, California","32"
