"participant","1","2","3","4","5","6","7","8","9","10","11","12","14"
"Jinkx Monsoon","SAFE","SAFE","HIGH","HIGH","WIN","HIGH","HIGH","HIGH","WIN","HIGH","BTM2","SAFE","Winner"
"Alaska","HIGH","SAFE","LOW","SAFE","HIGH","SAFE","HIGH","WIN","HIGH","LOW","WIN","SAFE","Runner-up"
"Roxxxy Andrews","WIN","SAFE","HIGH","LOW","HIGH","HIGH","BTM2","LOW","HIGH","WIN","HIGH","SAFE","Runner-up"
"Detox","SAFE","SAFE","WIN","SAFE","BTM2","SAFE","SAFE","HIGH","LOW","BTM2","ELIM",,"Guest"
"Coco Montrese","SAFE","SAFE","BTM2","SAFE","SAFE","BTM2","WIN","SAFE","BTM2","ELIM",,,"Guest"
"Alyssa Edwards","SAFE","SAFE","SAFE","WIN","SAFE","LOW","BTM2","BTM2","ELIM",,,,"Guest"
"Ivy Winters","HIGH","HIGH","SAFE","HIGH","LOW","WIN","LOW","ELIM",,,,,"Miss C"
"Jade Jolie","LOW","SAFE","SAFE","SAFE","SAFE","ELIM",,,,,,,"Guest"
"Lineysha Sparx","HIGH","WIN","SAFE","SAFE","ELIM",,,,,,,,"Guest"
"Vivienne Pinay","SAFE","HIGH","LOW","ELIM",,,,,,,,,"Guest"
"Honey Mahogany","SAFE","HIGH","SAFE","ELIM",,,,,,,,,"Guest"
"Monica Beverly Hillz","SAFE","BTM2","ELIM",,,,,,,,,,"Guest"
"Serena ChaCha","BTM2","ELIM",,,,,,,,,,,"Guest"
"Penny Tration","ELIM",,,,,,,,,,,,"Guest"
