"participant","2","3","4","5","6","7","8","9","10","11","12","13","15","16"
"Raja","WIN","SAFE","SAFE","SAFE","HIGH","WIN","HIGH","LOW","WIN","HIGH","BTM2","HIGH","Winner","Guest"
"Manila Luzon","HIGH","SAFE","SAFE","WIN","SAFE","HIGH","BTM2","LOW","HIGH","HIGH","WIN","WIN","Runner-up","Guest"
"Alexis Mateo","SAFE","WIN","WIN","SAFE","HIGH","BTM2","SAFE","WIN","LOW","BTM2","HIGH","BTM2","Eliminated","Guest"
"Yara Sofia","SAFE","HIGH","HIGH","SAFE","LOW","SAFE","HIGH","BTM2","SAFE","WIN","SAFE","ELIM",,"Miss C"
"Carmen Carrera","LOW","LOW","SAFE","SAFE","SAFE","LOW","HIGH","BTM2","ELIM",,"ELIM",,,"Guest"
"Shangela","BTM2","WIN","SAFE","HIGH","SAFE","LOW","WIN","SAFE","BTM2","ELIM",,,,"Guest"
"Delta Work","SAFE","BTM2","SAFE","SAFE","BTM2","HIGH","ELIM",,,,,,,"Guest"
"Stacy Layne Matthews","SAFE","HIGH","HIGH","BTM2","WIN","ELIM",,,,,,,,"Guest"
"Mariah","SAFE","HIGH","LOW","LOW","ELIM",,,,,,,,,"Guest"
"India Ferrah","SAFE","SAFE","BTM2","ELIM",,,,,,,,,,"Guest"
"Mimi Imfurst","HIGH","HIGH","ELIM",,,,,,,,,,,"Guest"
"Phoenix","SAFE","ELIM",,,,,,,,,,,,"Guest"
"Venus D-Lite","ELIM",,,,,,,,,,,,,"Guest"
