"participant","Name","Age","Hometown","Outcome"
"Tyra Sanchez","James Ross","21","Orlando, Florida","Winner"
"Raven","David Petruschin","30","Riverside, California","Runner-up"
"Jujubee","Airline Inthyrath","25","Boston, Massachusetts","3rd Place"
"Tatianna","Joey Santolini","21","Falls Church, Virginia","4th Place"
"Pandora Boxx","Michael Steck","37","Rochester, New York","5th Place"
"Jessica Wild","José David Sierra","29","San Juan, Puerto Rico","6th Place"
"Sahara Davenport","Antoine Ashley","25",", New York","7th Place"
"Morgan McMichaels","Thomas White","28",", California","8th Place"
"Sonique","Jason Edwards","26","Atlanta, Georgia","9th Place"
"Mystique Summers Madison","Donte Sims","25","Bedford, Texas","10th Place"
"Nicole Paige Brooks","Brian Christopher Pryor","36","Atlanta, Georgia","11th Place"
"Shangela Laquifa Wadley","D.J. Pierce","28",", California","12th Place"
