"participant","1","2","3","4","5","6","7","8","9","10","11","12","14"
"Violet Chachki","WIN","HIGH","SAFE","SAFE","LOW","SAFE","SAFE","HIGH","LOW","WIN","WIN","SAFE","Winner"
"Ginger Minj","SAFE","WIN","HIGH","SAFE","SAFE","HIGH","WIN","BTM2","WIN","BTM2","HIGH","SAFE","Runner-up"
"Pearl","SAFE","SAFE","LOW","BTM2","WIN","SAFE","SAFE","WIN","BTM2","SAFE","HIGH","SAFE","Runner-up"
"Kennedy Davenport","HIGH","SAFE","BTM2","WIN","SAFE","HIGH","WIN","SAFE","HIGH","SAFE","BTM2","ELIM","Guest"
"Katya","SAFE","BTM2","SAFE","HIGH","SAFE","WIN","HIGH","HIGH","HIGH","WIN","ELIM",,"Miss C"
"Trixie Mattel","SAFE","SAFE","HIGH","ELIM",,,,"WIN","SAFE","ELIM",,,"Guest"
"Miss Fame","HIGH","LOW","HIGH","SAFE","SAFE","LOW","LOW","LOW","ELIM",,,,"Guest"
"Jaidynn Diore Fierce","SAFE","SAFE","HIGH","HIGH","SAFE","BTM2","BTM2","ELIM",,,,,"Guest"
"Max","SAFE","SAFE","WIN","SAFE","WIN","SAFE","ELIM","OUT",,,,,"Guest"
"Kandy Ho","BTM2","SAFE","SAFE","LOW","BTM2","ELIM",,"OUT",,,,,"Guest"
"Mrs. Kasha Davis","SAFE","HIGH","HIGH","SAFE","ELIM",,,"OUT",,,,,"Guest"
"Jasmine Masters","LOW","SAFE","ELIM",,,,,"OUT",,,,,"Guest"
"Sasha Belle","LOW","ELIM",,,,,,"OUT",,,,,"Guest"
"Tempest DuJour","ELIM",,,,,,,"OUT",,,,,"Guest"
