"participant","1","2","3","4","5","6","7","8","9","10","11","12","14"
"Bianca Del Rio",,"WIN","HIGH","SAFE","HIGH","HIGH","HIGH","WIN","SAFE","WIN","HIGH","SAFE","Winner"
"Adore Delano","LOW",,"LOW","HIGH","HIGH","WIN","WIN","SAFE","BTM2","BTM2","WIN","SAFE","Runner-up"
"Courtney Act",,"SAFE","HIGH","WIN","SAFE","SAFE","LOW","SAFE","WIN","SAFE","LOW","SAFE","Runner-up"
"Darienne Lake",,"BTM2","WIN","LOW","SAFE","LOW","BTM2","HIGH","SAFE","LOW","BTM2","ELIM","Guest"
"BenDeLaCreme","WIN",,"SAFE","HIGH","WIN","SAFE","BTM2","LOW","HIGH","HIGH","ELIM",,"Miss C"
"Joslyn Fox",,"LOW","HIGH","SAFE","SAFE","HIGH","LOW","BTM2","LOW","ELIM",,,"Guest"
"Trinity K. Bonet",,"HIGH","HIGH","BTM2","SAFE","BTM2","HIGH","HIGH","ELIM",,,,"Guest"
"Laganja Estranja","SAFE",,"SAFE","SAFE","BTM2","SAFE","WIN","ELIM",,,,,"Guest"
"Milk",,"HIGH","HIGH","SAFE","LOW","ELIM",,,,,,,"Guest"
"Gia Gunn","HIGH",,"SAFE","SAFE","ELIM",,,,,,,,"Guest"
"April Carrión","HIGH",,"BTM2","ELIM",,,,,,,,,"Guest"
"Vivacious","BTM2",,"ELIM",,,,,,,,,,"Guest"
"Magnolia Crawford",,"ELIM",,,,,,,,,,,"Guest"
"Kelly Mantle","ELIM",,,,,,,,,,,,"Guest"
