"participant","Age (at time of filming)","Occupation","Hometown"
"Robert ""Bobby"" Anderson","37","Executive Chef","Niagara Falls, New York"
"Matthew ""Matt"" Bloch","35","Sous Chef","Pine Hill, New Jersey"
"Benjamin ""Ben"" Caylor","29","Electrician & Former Chef","Charlotte, North Carolina"
"Dominic DiFrancesco","43","Stay-at-home Dad","Catawba, South Carolina"
"Courtney ""Corey"" Earling","25","Private Chef","Brooklyn, New York"
"Louross Edralin","24","Hotel Cook","Las Vegas, Nevada"
"Rosann Fama","33","Law office receptionist & Former Cook","Staten Island, New York"
"Jennifer ""Jen"" Gavin","24","Garde Manger","Chicago, Illinois"
"Vanessa Gunnell","31","Line Cook","Bozeman, Montana"
"Christina Machamer","25","Culinary Student","St. Louis, Missouri"
"Louis ""Petrozza"" Petrozza","47","Catering Director","Charlotte, North Carolina"
"Shayna Raichilson-Zadok","28","Catering Company Owner","Buffalo, New York"
"Craig Schneider","30","Sous Chef","Coram, New York"
"Sharon Stewart","31","Room-service chef","Las Vegas, Nevada"
"Jason Underwood","29","Sous Chef","Las Vegas, Nevada"
