"participant","Age (at time of filming)","Occupation","Hometown"
"Andrew Bonito","24","Office Assistant","Livingston, New Jersey"
"Jessica Cabo","26","Headhunter","Huntington, New York"
"James ""Jimmy"" Casey","25","Purchasing Supervisor","Williston Park, New York"
"Mary Ellen Daniels","27","Bartender","Belmont, Massachusetts"
"Jeffery ""Dewberry"" Dewberry","33","Pastry Chef","Stockbridge, Georgia"
"Jeffery ""Jeff"" LaPoff","28","Finance Manager","Orange, New Jersey"
"Wendy Liu","32","Account Manager","Millburn, New Jersey"
"Christopher ""Chris"" North","35","Executive Chef","Yorktown Heights, New York"
"Ralph Pagano","36","Professional Chef","Livingston, New Jersey"
"Elizabeth ""Elsie"" Ramos","40","Mother of Six","Maywood, New Jersey"
"Carolann Valentino","33","Server's Assistant","Dallas, Texas"
"Michael Wray","27","Professional Chef","Fort Collins, Colorado"
