"participant","Age (at time of filming)","Occupation","Hometown"
"Joanna Dunn","22","Assistant Chef",", "
"Vincent ""Vinnie"" Fama","29","Nightclub Chef","Milltown, New Jersey"
"Melissa Firpo","29","Line Cook","New York, New York"
"Rahman ""Rock"" Harper","30","Executive Chef","Spotsylvania Courthouse, Virginia"
"Edward ""Eddie"" Langley","28","Grill Cook","Atlanta, Georgia"
"Bradley ""Brad"" Miller","25","Sous Chef","Scottsdale, Arizona"
"Bonnie Muirhead","26","Nanny/Personal Chef","Santa Monica, California"
"Tiffany Nagel","27","Kitchen Manager","Scottsdale, Arizona"
"Aaron Song †","48","Retirement Home Chef","Rancho Palos Verdes, California"
"Joshua ""Josh"" Wahler","26","Jr. Sous Chef","Miami Beach, Florida"
"Julia Williams","28"," Cook","Atlanta, Georgia"
"Jennifer ""Jen"" Yemola","26","Pastry Chef","Hazleton, Pennsylvania"
