"participant","Age","Occupation","Hometown"
"Gina Aloise","49","Line Cook","Bronx, New York"
"Raymond ""Ray"" Alongi","51","Executive Chef","Boston, Massachusetts"
"Jacqueline Baldassari","27","Roundsman","Florence, New Jersey"
"Barret Beyer","35","Head Chef","Long Island, New York"
"Danielle Boorn","33","Executive Chef","Atlanta, Georgia"
"Susanna ""Susan"" Fierro","29","Culinary Student","Whittier, California"
"Amanda Giblin","28","Executive Chef","Orange County, New York"
"Nedra Harris","24","Kitchen Manager",", "
"Michael Langdon","33","Executive Chef","Plains, Pennsylvania"
"Jessica Lewis","25","Chef Tournant","New York, New York"
"Jeremy Madden","22","Lead Cook","Los Angeles, California"
"Mary Poehnelt","26","Butcher/Line Cook","Belchertown, Massachusetts"
"Anthony Rodriguez","27","Line Chef","New Orleans, Louisiana"
"Christian Rosati","38","Line Cook","Boston, Massachusetts"
"Sebastian Royo","32","Sous Chef","Brooklyn, New York"
"Daniel “Dan” Ryan","27","Head Cook","Westchester, New York"
"Jonathan ""Jon"" Scallion","27","Chef de Cuisine","York, Pennsylvania"
"Cynthia ""Cyndi"" Stanimirov","25","Head Chef","Queens, New York"
"Ja'Nel Witt","31","Executive Chef","Houston, Texas"
"Zachary ""Zach"" Womack","34","Head Line Cook","Philadelphia, Pennsylvania"
