"participant","Age (at time of filming)","Occupation","Hometown"
"Siobhan Allgood","25","Pub Executive Chef","Philadelphia, Pennsylvania"
"Edward ""Ed"" Battaglia","28","High School Cooking Teacher","Edgewater Park, New Jersey"
"Jamie Bisoulis","26","Sous Chef","Chicago, Illinois"
"Salvatore Coppola","35","Pizzeria Chef","Laurel Springs, New Jersey"
"Jason Ellis","37","Personal Chef","Suwanee, Georgia"
"Andrew Forster","28","Farmer","Wake Forest, North Carolina"
"Scott Hawley","32","Executive Chef","New York City, New York"
"Nilka Hendricks","28","Line Cook","Lake Hopatcong, New Jersey"
"Frances ""Fran"" Klier","44","Catering Chef","Rockville Centre, New York"
"Benjamin Knack","33","Culinary Instructor","Malden, Massachusetts"
"Autumn Lewis","29","Personal Chef","West Hollywood, California"
"Jason ""Jay"" Santos","32","Executive Chef","Medford, Massachusetts"
"Anastasia ""Stacey"" Slichta","38","Private Chef","Studio City, California"
"Michael ""Mikey"" Termini","29","Line Cook","Kihei, Hawaii"
"Maria Torrisi","24","Kitchen Supervisor","Scranton, Pennsylvania"
"Holli Ugalde","24","Banquet Chef","San Bernardino, California"
