"participant","Age","Occupation","Hometown"
"Elizabeth Bianchi","27","Line Cook","New York, New York"
"Natalie Blake","23","Sous Chef","Harrodsburg, Kentucky"
"Hee Jun ""Chino"" Chang","39","Executive Chef","Hatboro, Pennsylvania"
"Amanda Colello","26","Personal Chef","Sun City, California"
"Jamie Gregorich","24","Sous Chef","Bradenton, Florida"
"Brendan Heavey","31","Head Chef","Hoboken, New Jersey"
"Carolina ""Carrie"" Keep","31","Pantry Chef","Dallas, Texas"
"Monterray Keys","34","Line Cook","Darby, Pennsylvania"
"William ""Will"" Lustberg","31","Sous Chef","Jersey City, New Jersey"
"Gina Melcher","34","Restaurant Consultant","Cape May, New Jersey"
"Paul Niedermann","27","Jr. Sous Chef","Davie, Florida"
"Jennifer Normant","34","Chef de Cuisine","Boston, Massachusetts"
"Steven Paluba","44","Sauté Chef","Ridge, New York"
"Krupa Patel","30","Private Chef","Queens, New York"
"Jonathon Plumley","34","Head Cook","Memphis, Tennessee"
"Thomas ""Tommy"" Stevens","31","Line Cook","Brewster, New York"
"Elise Wims","26","Line Cook","Pittsburgh, Pennsylvania"
"Jason Zepaltas","29","Line Cook","Chicago, Illinois"
