"participant","Age (at time of filming)","Occupation","Hometown"
"Vincenzo ""Vinny"" Accardi","29","Line Cook","Queens, New York"
"Antonia Boregman","40","Line Cook/Beautician","Chicago, Illinois"
"Ranjit ""Raj"" Brandston","49","Personal Chef","Queens, New York"
"Sabrina Brimhall","22","Prep Chef","San Diego, California"
"Lewis ""Curtis"" Curtis","26","Executive Chef","Beebe, Arkansas"
"Melissa Doney","31","Executive Sous Chef","Albany, New York"
"Jillian Flathers","28","Sous Chef","Pagosa Springs, Colorado"
"Russell Kook II","29","Sous Chef","Madison, Wisconsin"
"Emily Kutchins","29","Senior Home Executive Chef","Chicago, Illinois"
"Elisabeth ""Lisa"" LaFranca","48","Corporate Food Director","Brooklyn, New York"
"Robert ""Rob"" McCue","36","Law Firm Chef","Brooklyn, New York"
"Trevor ""Trev"" McGrath","30","Line Cook/Bartender","Chicago, Illinois"
"Abigail ""Gail"" Novenario","28","Executive Chef","Wantagh, New York"
"Boris Poleschuk","38","Catering Chef","Manalapan, New Jersey"
"Louis Repucci","28","Children's Camp Chef","Diamond Bar, California"
"Nona Sivley","29","Sous Chef","Atlanta, Georgia"
